num_poste,datouvr,datferm,commune,nom_usuel,lieu_dit,lat_dms,lon_dms,latitude,longitude,lambx,lamby,lambx_100,lamby_100,latitude_calc,longitude_calc,alti,oaci,type_poste_actuel,
98729008,01-Jan-1979,null,MOOREA-MAIAO,PAPETOAI 3,OPUNOHU SDR,"17°31'47""S","149°50'8""W",-17.529667,-149.835667,8360,80590,8360.16,80590.29,-17.52972222,-149.83555556,83,null,4,
98729009,01-Jan-1980,null,MOOREA-MAIAO,MOOREA-AERO,TEAVARO AERODROMME DE TEMAE,"17°29'11""S","149°45'58""W",-17.486333,-149.766167,8435,80637,8434.84,80637.05,-17.48638889,-149.76611111,5,null,2,
98729010,01-Dec-1993,null,MOOREA-MAIAO,PAPETOAI 4,OPUNOHU EPHE,"17°31'16""S","149°50'57""W",-17.521167,-149.849167,8346,80600,8345.97,80599.94,-17.52111111,-149.84916667,17,null,2,
98729011,01-Dec-1993,30-Apr-2000,MOOREA-MAIAO,HAAPITI 2,POINTE AHURU,"17°30'0""S","149°55'6""W",-17.500000,-149.918333,8273,80625,8272.84,80624.59,-17.5,-149.91833333,4,null,4,
98729012,01-Mar-2000,null,MOOREA-MAIAO,HAAPITI 3,TETAIUO,"17°31'7""S","149°54'3""W",-17.518667,-149.900833,8291,80604,8291.10,80603.61,-17.51861111,-149.90083333,5,null,4,
98729013,23-Nov-2007,30-Nov-2020,MOOREA-MAIAO,TEAVARO 2,spea pk2,"17°30'33""S","149°46'11""W",-17.509167,-149.769667,2059,80620,2058.89,80619.54,-17.50916667,-149.76972222,7,null,4,
98729014,23-Nov-2007,31-Aug-2009,MOOREA-MAIAO,HAAPITI 4,pointe Tepee,"17°29'27""S","149°53'43""W",-17.490833,-149.895333,1925,80638,1925.04,80637.85,-17.49083333,-149.89527778,2,null,4,
98729015,01-Nov-2011,null,MOOREA-MAIAO,HAAPITI5,Nuuroa,"17°31'59""S","149°54'1""W",-17.533000,-149.900167,8292,80588,8291.55,80587.72,-17.53305556,-149.90027778,15,null,1,
98729016,01-Jun-2012,31-Mar-2014,MOOREA-MAIAO,HAAPITI 6,null,"17°32'9""S","149°53'29""W",-17.535833,-149.891333,8301,80584,8300.89,80584.43,-17.53583333,-149.89138889,5,null,4,
98729017,01-May-2015,31-Dec-2015,MOOREA-MAIAO,ATIHA,Taia,"17°35'28""S","149°50'11""W",-17.591167,-149.836500,8358,80522,8358.14,80522.18,-17.59111111,-149.83638889,5,null,4,
98729018,01-Apr-1986,null,MOOREA-MAIAO,VAIANAE P3,null,"17°33'42""S","149°50'47""W",-17.561667,-149.846333,8348,80555,8348.23,80555.03,-17.56166667,-149.84638889,70,null,3,
98729019,01-Oct-2022,null,MOOREA-MAIAO,VAIANAE 1,Quartier Papai,"17°34'29""S","149°51'10""W",-17.574833,-149.852667,8341,80541,8341.26,80540.56,-17.57472222,-149.85277778,3,null,4,
98729600,01-Jun-2008,null,MOOREA-MAIAO,NORD-MOOREA,NORD-MOOREA,"17°0'0""S","150°0'0""W",-17.000000,-150.000000,8195,81180,8194.65,81179.75,-17,-150,0,null,7,
98730001,01-Oct-1955,31-May-1961,NAPUKA,NAPUKA METEO,TEPUKAMARUIA ECOLE,"14°9'48""S","141°16'12""W",-14.163333,-141.270000,17738,84020,17737.85,84019.57,-14.16333333,-141.27,2,null,0,
98730003,01-Jun-2001,null,NAPUKA,NAPUKA,TEPUKAMARUIA VILLAGE,"14°9'57""S","141°16'7""W",-14.165833,-141.268500,17739,84017,17739.35,84016.67,-14.16583333,-141.26861111,2,null,4,
98730600,01-Jun-2008,null,NAPUKA,NORD-EST-TUAMOTU,NORD-EST-TUAMOTU,"14°30'0""S","140°30'0""W",-14.500000,-140.500000,18565,83595,18564.65,83594.73,-14.5,-140.5,0,null,7,
98730601,20-Aug-2010,null,NAPUKA,PT-NORD-TUAMOTU,PT-NORD-TUAMOTU,"12°30'0""S","142°30'0""W",-12.500000,-142.500000,16468,85952,16467.84,85952.07,-12.5,-142.5,0,null,7,
98731001,01-Jan-1948,31-Dec-1978,NUKU-HIVA,TAIOHAE POSTE,TAIOHAE VILLAGE POSTE,"8°55'0""S","140°5'35""W",-8.916667,-140.093000,19307,89891,19306.78,89890.51,-8.91666667,-140.09305556,12,null,4,
98731002,01-Aug-1961,null,NUKU-HIVA,HATIHEU,HATIHEU VILLAGE,"8°49'25""S","140°4'32""W",-8.823500,-140.075500,19330,89995,19330.24,89995.37,-8.82361111,-140.07555556,6,null,2,
98731003,01-Aug-1961,null,NUKU-HIVA,TAIPIVAI,TAIPIVAI VILLAGE,"8°52'11""S","140°3'31""W",-8.869667,-140.058667,19347,89942,19347.36,89942.39,-8.86972222,-140.05861111,10,null,2,
98731004,01-Sep-1972,30-Jun-1973,NUKU-HIVA,EIAO,EIAO MOUKTIKETIKE,"8°0'0""S","140°40'0""W",-8.000000,-140.666667,18694,90949,18694.47,90949.37,-8,-140.66666667,578,null,4,
98731005,01-Aug-1968,null,NUKU-HIVA,TAIOHAE SDR,TAIOHAE VILLAGE SDR,"8°54'34""S","140°5'18""W",-8.909333,-140.088333,19312,89899,19312.34,89898.63,-8.90944444,-140.08833333,20,null,4,
98731006,01-Jun-1975,01-Jun-2004,NUKU-HIVA,TOOVII-PLATEAU,TOOVII PLATEAU,"8°51'24""S","140°8'48""W",-8.856667,-140.146667,19249,89961,19248.72,89960.62,-8.85666667,-140.14666667,816,null,4,
98731007,01-Jan-1978,null,NUKU-HIVA,NUKUATAHA AERO,NUKU-A-TAHA AERODROME,"8°47'37""S","140°13'14""W",-8.793500,-140.220667,19168,90035,19167.85,90035.07,-8.79361111,-140.22055556,64,NTMD,2,
98731600,01-Jun-2008,null,NUKU-HIVA,EIAO,EIAO,"8°0'0""S","140°30'0""W",-8.000000,-140.500000,18882,90944,18882.40,90943.61,-8,-140.5,0,null,7,
98731601,20-Aug-2010,null,NUKU-HIVA,PT-OUEST-MARQUISES,PT-OUEST-MARQUISES,"7°30'0""S","142°30'0""W",-7.500000,-142.500000,16649,91569,16648.60,91569.17,-7.5,-142.5,0,null,7,
98732001,01-Apr-1998,null,NUKUTAVAKE,NUKUTAVAKE,TAVAVA,"19°16'42""S","138°46'12""W",-19.278333,-138.770000,20075,78056,20074.70,78056.31,-19.27833333,-138.77,3,null,4,
98732600,01-Jun-2008,null,NUKUTAVAKE,EST TUAMOTU,VAHITAHI - EST TUAMOTU,"18°30'0""S","138°30'0""W",-18.500000,-138.500000,20440,78915,20439.54,78915.21,-18.5,-138.5,0,null,7,
98733001,01-Mar-1947,31-Oct-2007,PAEA,PAEA 1,GENDARMERIE PAEA PK 20,"17°40'30""S","149°35'12""W",-17.675000,-149.586667,8622,80425,8621.91,80424.68,-17.675,-149.58666667,4,null,4,
98733002,01-Jan-1971,18-Dec-2010,PAEA,PAEA 2,MARAA,"17°43'54""S","149°34'42""W",-17.731667,-149.578333,8630,80362,8629.62,80361.74,-17.73166667,-149.57833333,4,null,4,
98733003,01-Nov-2012,null,PAEA,PAEA 3,Marae Arahurahu,"17°41'46""S","149°34'55""W",-17.696167,-149.581833,8627,80401,8626.62,80401.14,-17.69611111,-149.58194444,5,null,2,
98734001,01-Feb-1948,01-Jul-2006,PAPARA,PAPARA 1,PAPAO,"17°45'12""S","149°33'12""W",-17.753333,-149.553333,8656,80337,8655.73,80337.25,-17.75333333,-149.55333333,3,null,4,
98734002,01-Jan-1950,31-Dec-2004,PAPARA,PAPARA 2,GOLF D'ATIMAONO,"17°46'30""S","149°27'30""W",-17.775000,-149.458333,8756,80311,8756.14,80311.36,-17.775,-149.45833333,5,null,4,
98734003,01-Jan-1975,31-Jul-1981,PAPARA,PAPARA 3,PAPARA PK38,"17°46'18""S","149°28'42""W",-17.771667,-149.478333,8735,80315,8734.98,80315.45,-17.77166667,-149.47833333,1,null,4,
98734004,01-Jan-1976,31-Dec-1990,PAPARA,PAPARA 4,PAPARA PK38,"17°46'18""S","149°28'54""W",-17.771667,-149.481667,8731,80316,8731.44,80315.52,-17.77166667,-149.48166667,2,null,4,
98734005,01-Jan-1991,null,PAPARA,PAPARA 5,SDR ATIMAONO,"17°46'14""S","149°28'14""W",-17.770667,-149.470500,8743,80316,8743.31,80316.41,-17.77055556,-149.47055556,5,null,4,
98734006,01-Dec-2009,null,PAPARA,PAPARA 6,Apomaoro,"17°45'24""S","149°30'55""W",-17.756667,-149.515333,2333,80349,2332.76,80349.25,-17.75666667,-149.51527778,8,null,4,
98734007,25-Jun-2015,null,PAPARA,PAPARA 7,Golf d'Atimaono,"17°46'29""S","149°27'39""W",-17.774833,-149.460833,8753,80312,8753.49,80311.60,-17.77472222,-149.46083333,8,null,1,
98734008,01-Jan-1998,null,PAPARA,TAHARUU P7,null,"17°45'19""S","149°28'55""W",-17.755167,-149.482000,8731,80334,8731.43,80333.81,-17.75527778,-149.48194444,200,null,3,
98734009,26-Aug-2019,null,PAPARA,PAPARA 8,Tiama'o,"17°44'55""S","149°33'45""W",-17.748500,-149.562500,8646,80343,8646.09,80342.78,-17.74861111,-149.5625,1,null,1,
98735001,01-Jan-1935,31-Aug-1948,PAPEETE,PAPEETE 1,MONT FAIERE,"17°33'1""S","149°34'3""W",-17.550167,-149.567500,8645,80563,8644.78,80562.63,-17.55027778,-149.5675,92,null,4,
98735002,01-May-1938,null,PAPEETE,PAPEETE 2,Mission catholique,"17°32'47""S","149°33'31""W",-17.546333,-149.558500,8654,80567,8654.42,80566.70,-17.54638889,-149.55861111,39,null,2,
98735003,01-Jan-2010,null,PAPEETE,PAPEETE3,mission Pure Ora,"17°32'48""S","149°33'26""W",-17.546667,-149.557167,8656,80566,8655.83,80566.30,-17.54666667,-149.55722222,75,null,4,
98735004,15-Feb-2012,null,PAPEETE,PAPEETE,null,"17°34'12""S","149°34'12""W",-17.570000,-149.570000,8642,80541,8641.73,80540.70,-17.57,-149.57,320,null,6,
98735005,12-Oct-2012,null,PAPEETE,FAUTAUA,null,"17°33'42""S","149°32'20""W",-17.561667,-149.539000,8675,80549,8674.84,80549.33,-17.56166667,-149.53888889,81,null,3,
98735006,01-Oct-1987,null,PAPEETE,VAIAMI P2,null,"17°34'9""S","149°33'32""W",-17.569167,-149.558833,8654,80541,8653.61,80541.41,-17.56916667,-149.55888889,470,null,3,
98736001,01-Aug-1948,null,PIRAE,PIRAE 1,HIPPODROME NAHOATA,"17°32'9""S","149°32'21""W",-17.535833,-149.539167,8675,80578,8675.19,80577.96,-17.53583333,-149.53916667,34,null,2,
98736003,01-Mar-2001,30-Nov-2014,PIRAE,PIRAE 3,FARE RAU APE,"17°34'0""S","149°31'36""W",-17.566667,-149.526667,8688,80544,8687.85,80543.55,-17.56666667,-149.52666667,600,null,4,
